Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Lebanon,LBN,1999,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,8256
Lebanon,LBN,1998,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5610
Lebanon,LBN,1997,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5610
Lebanon,LBN,1996,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5000
Lebanon,LBN,1995,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,4500
Lebanon,LBN,1994,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,4000
Lebanon,LBN,1993,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3800
Lebanon,LBN,1992,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3600
Lebanon,LBN,1991,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3400
Lebanon,LBN,1990,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3200
Lebanon,LBN,1989,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3000
Lebanon,LBN,1988,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3000
Lebanon,LBN,1987,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3000
Lebanon,LBN,1986,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3000
Lebanon,LBN,1985,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3000
Lebanon,LBN,1984,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3000
Lebanon,LBN,1983,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3000
Lebanon,LBN,1982,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3000
Lebanon,LBN,1981,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3000
Lebanon,LBN,1980,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3000
Lebanon,LBN,1979,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3000
Lebanon,LBN,1978,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3000
Lebanon,LBN,1977,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3000
Lebanon,LBN,1976,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3000
Lebanon,LBN,1975,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3000
Lebanon,LBN,1974,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3000
Lebanon,LBN,1973,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3000
Lebanon,LBN,1972,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2850
Lebanon,LBN,1971,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2700
Lebanon,LBN,1970,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2500
Lebanon,LBN,1969,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2350
Lebanon,LBN,1968,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2250
Lebanon,LBN,1967,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2176
Lebanon,LBN,1966,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2080
Lebanon,LBN,1965,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1900
Lebanon,LBN,1964,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1720
Lebanon,LBN,1963,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1420
Lebanon,LBN,1962,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1130
Lebanon,LBN,1961,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1125
Lebanon,LBN,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,330.925452
Lebanon,LBN,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,370.3681789
Lebanon,LBN,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,316.5360588
Lebanon,LBN,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,322.8578066
Lebanon,LBN,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,296.3049945
Lebanon,LBN,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,336.17825
Lebanon,LBN,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,356.4385151
Lebanon,LBN,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,293.0356088
Lebanon,LBN,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,267.9340622
Lebanon,LBN,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,287.1066381
Lebanon,LBN,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,225.9794132
Lebanon,LBN,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,262.771703
Lebanon,LBN,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,366.5167875
Lebanon,LBN,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,345.4950669
Lebanon,LBN,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,331.8986929
Lebanon,LBN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,6580
Lebanon,LBN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,6580
Lebanon,LBN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,6580
Lebanon,LBN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,6580
Lebanon,LBN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,6580
Lebanon,LBN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,6510
Lebanon,LBN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,6400
Lebanon,LBN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,6630
Lebanon,LBN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,6630
Lebanon,LBN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,6770.999756
