date,unofficial,official
11/15/2018,1515,1507.5
12/15/2018,1515,1507.5
1/15/2019,1515,1507.5
2/15/2019,1515,1507.5
3/15/2019,1515,1507.5
4/15/2019,1515,1507.5
5/15/2019,1515,1507.5
6/15/2019,1515,1507.5
7/15/2019,1515,1507.5
8/15/2019,1560,1507.5
9/15/2019,1680,1507.5
10/15/2019,1730,1507.5
11/15/2019,1820,1507.5
12/15/2019,2010,1507.5
1/15/2020,2250,1507.5
2/15/2020,2330,1507.5
3/15/2020,2525,1507.5
4/15/2020,3050,1507.5
5/15/2020,4200,1507.5
6/15/2020,4700,1507.5
7/15/2020,8500,1507.5
8/15/2020,7025,1507.5
9/15/2020,7532,1507.5
10/15/2020,8025,1507.5
11/15/2020,7800,1507.5
12/15/2020,8400,1507.5
1/15/2021,8800,1507.5
2/15/2021,8900,1507.5
3/15/2021,10000,1507.5
