Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Lebanon,LBN,2019,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,51.93610611
Lebanon,LBN,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,54.48748339
Lebanon,LBN,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,54.6488188
Lebanon,LBN,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,55.6059626
Lebanon,LBN,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,59.27285957
Lebanon,LBN,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,58.0965807
Lebanon,LBN,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,60.5182663
Lebanon,LBN,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,60.46513205
Lebanon,LBN,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,76.96342713
Lebanon,LBN,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,75.62735704
Lebanon,LBN,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,87.4379568
Lebanon,LBN,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,106.7838695
Lebanon,LBN,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,91.59916447
Lebanon,LBN,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,92.64670322
Lebanon,LBN,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,87.24016983
Lebanon,LBN,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,84.90389441
Lebanon,LBN,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,79.54912852
Lebanon,LBN,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,40.89266248
Lebanon,LBN,2019,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,7.548919026
Lebanon,LBN,2018,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,5.414572368
Lebanon,LBN,2017,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,24.71582215
Lebanon,LBN,2016,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,29.58471168
Lebanon,LBN,2015,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,32.06792105
Lebanon,LBN,2014,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,33.89025236
Lebanon,LBN,2013,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,38.75487867
Lebanon,LBN,2012,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,34.68004106
Lebanon,LBN,2011,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,37.23820693
Lebanon,LBN,2010,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,40.69478043
Lebanon,LBN,2009,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,55.96312012
Lebanon,LBN,2008,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,56.63701835
Lebanon,LBN,2007,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,48.51227822
Lebanon,LBN,2006,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,45.18140042
